titulo;nota_media;votos;data_lancamento;idioma_original;idioma;generos;diretor;descricao;poster_url;duracao_minutos;popularidade
Clouds;8,245;1022;2020-10-09;en;Inglês;Música, Drama, Romance;Justin Baldoni;O jovem músico Zach Sobiech descobre que tem apenas alguns meses de vida devido a um câncer terminal. Com pouco tempo, corre atrás de seu sonho e grava um álbum, sem saber que logo será um fenômeno da Internet. Assim, a música dá um novo significado à vida de Zach e o ajuda a encontrar a maneira perfeita de se despedir... com uma música que será ouvida no mundo todo.;https://image.tmdb.org/t/p/w500/euWiWsHhPeSGFsIO5ArzCkGeskG.jpg;121;2,2349
Rascal Does Not Dream of a Dreaming Girl;8,2;540;2019-06-15;ja;Japonês;Animação, Romance, Drama, Fantasia;増井壮一;Em Fujiwara, onde os céus brilham e os mares brilham, Sakuta Azusagawa está em seu segundo ano do ensino médio. Seus felizes dias com sua namorada e veterana, Mai Sakurajima, são interrompidos com a aparição de sua primeira paixão, Shoko Makinohara. Por razões desconhecidas, ele encontra duas Shokos: uma no ensino médio e outra que se tornou adulta.  Como Sakuta se vê vivendo desamparado com Shoko, a Shoko adulto o leva pelo nariz, causando uma enorme brecha em seu relacionamento com Mai.  Em meio a tudo isso, ele descobre que Shoko, do ensino médio, está sofrendo de uma doença grave e sua cicatriz começa a latejar…;https://image.tmdb.org/t/p/w500/2Tpyv4cwwyE2xV9bqx7DOWnUCZ5.jpg;90;4,4465
Eu Quero Comer seu Pâncreas;8,242;1635;2018-09-01;ja;Japonês;Animação, Drama, Romance;牛嶋新一郎;Um dia, ele encontra um diário em um hospital. O diário pertence a sua colega de classe, uma garota chamada Yamauchi Sakura, que se revela estar sofrendo de uma doença terminal em seu pâncreas e que tem apenas alguns meses de vida. Sakura explica a ele que é a única pessoa fora de sua família que sabe sobre sua condição. Ele promete manter o segredo de Sakura e, apesar de suas personalidades completamente opostas, ele decide estar junto com Sakura durante seus últimos meses.;https://image.tmdb.org/t/p/w500/8xAwcL3ALTHzHMKkVIApiKwVEzt.jpg;109;6,0612
Vingadores: Ultimato;8,24;26484;2019-04-24;en;Inglês;Aventura, Ficção científica, Ação;Anthony Russo;"Após os eventos devastadores de ""Vingadores: Guerra Infinita"", o universo está em ruínas devido aos esforços do Titã Louco, Thanos. Com a ajuda de aliados remanescentes, os Vingadores devem se reunir mais uma vez a fim de desfazer as ações de Thanos e restaurar a ordem no universo de uma vez por todas, não importando as consequências.";https://image.tmdb.org/t/p/w500/7jvlqGsxeMKscskuUZgKk0Kuv99.jpg;181;16,279
Klaus;8,238;4303;2019-11-08;en;Inglês;Animação, Família, Aventura, Comédia, Fantasia;Sergio Pablos;Em Smeerensburg, remota ilha localizada acima do Círculo Ártico, Jesper é um estudante da Academia Postal que enfrenta um sério problema: os habitantes da cidade brigam o tempo todo, sem demonstrar o menor interesse por cartas. Prestes a desistir da profissão, ele encontra apoio na professora Alva e no misterioso carpinteiro Klaus, que vive sozinho em sua casa repleta de brinquedos feitos a mão.;https://image.tmdb.org/t/p/w500/guyZW9AQdTMp2F4esttjyIMMK1k.jpg;97;3,7201
A Vida em um Ano;8,236;1921;2020-11-27;en;Inglês;Drama, Romance;Mitja Okorn;Daryn, um excelente atleta do colégio, estudioso e aspirante a rapper, descobre que sua namorada, Isabelle está doente de um câncer no ovário. Então, ele decide fazer com que ambos vivam juntos, em um ano, experiências dignas de uma vida inteira.;https://image.tmdb.org/t/p/w500/dfmbwqkalJRfYqFSwNhRn4QYK30.jpg;107;3,5845
Vingadores: Guerra Infinita;8,236;30698;2018-04-25;en;Inglês;Aventura, Ação, Ficção científica;Joe Russo;Homem de Ferro, Thor, Hulk e os Vingadores se unem para combater seu inimigo mais poderoso, o maligno Thanos. Em uma missão para coletar todas as seis pedras infinitas, Thanos planeja usá-las para infligir sua vontade maléfica sobre a realidade.;https://image.tmdb.org/t/p/w500/d6jUbQj4E4R5MJlFYfdzANEZbkL.jpg;182;26,9758
A Cinco Passos de Você;8,235;5734;2019-03-14;en;Inglês;Romance, Drama;Justin Baldoni;Dois pacientes com fibrose cística se apaixonam, apesar das regras do hospital afirmarem que eles devem manter 1,5 metros de distância entre si.;https://image.tmdb.org/t/p/w500/uwyySfv4kybDpVebZhyb0Bnk3dz.jpg;116;7,9181
Vá e Veja;8,233;1626;1985-10-17;ru;Russo;Drama, Guerra;Элем Климов;O jovem camponês Florya é cooptado por um despreparado grupo de guerrilheiros antinazistas. Em confronto com os alemães, o garoto é deixado para trás e decide retornar ao seu vilarejo. Chegando lá depara-se com o desolador cenário de um massacre. Perturbado, ele passa a vagar sem rumo, presenciando cenas cada vez mais fortes.;https://image.tmdb.org/t/p/w500/tcXEexk4k4PGo6VbUOOXl5W2wlP.jpg;142;4,9544
Aquele Que Sabe Viver;8,23;799;1962-12-05;it;Italiano;Drama, Comédia, Aventura;Dino Risi;No verão de 1962, Bruno, um playboy quarentão, leva Roberto, um tímido estudante de direito, para uma viagem de dois dias pelas estradas de Roma e da Toscana. Neste período, vivem uma série de aventuras e desventuras, com um desfecho surpreendente.;https://image.tmdb.org/t/p/w500/9vumJKydNxcFtcFNYPIvFeHXVBQ.jpg;106;1,2054
Green Book: O Guia;8,229;12084;2018-11-16;en;Inglês;Drama, História;Peter Farrelly;"Quando Tony Lip, um segurança ítalo-americano, é contratado como motorista do Dr. Don Shirley, um pianista negro de classe alta, durante uma turnê pelo sul dos Estados Unidos, eles devem seguir o ""O Guia"" para leva-los aos poucos estabelecimentos que eram seguros para os afro-americanos. Confrontados com o racismo, o perigo, assim como pela humanidade e o humor inesperados, eles são forçados a deixar de lado as diferenças para sobreviver e prosperar nessa jornada.";https://image.tmdb.org/t/p/w500/dVclo60FPdCuFIGsIlAm417KBSD.jpg;131;10,2293
Evangelion: 3.0+1.0 A Esperança;8,229;859;2021-03-08;ja;Japonês;Animação, Ação, Ficção científica, Drama;鶴巻和哉;No rescaldo do Quarto Impacto, presos sem seus Evangelions, Shinji, Asuka e Rei procuram refúgio nos desolados restos vermelhos de Tokyo-3. Mas o perigo para o mundo está longe de acabar. Um novo impacto está surgindo no horizonte - aquele que provará ser o verdadeiro fim de Evangelion.;https://image.tmdb.org/t/p/w500/tQ6P7q6vrH8ym7knYmuA6SKmfFZ.jpg;155;4,4888
Mommy;8,228;2764;2014-09-19;fr;Francês;Drama;Xavier Dolan;Uma mãe solteira e viúva se vê sobrecarregada com a custódia em tempo integral de seu imprevisível filho de 15 anos com TDAH. À medida que lutam para conseguir dinheiro, Kyla, a nova vizinha do outro lado da rua, oferece sua ajuda. Juntos, eles encontram um novo equilíbrio e um pouco de esperança.;https://image.tmdb.org/t/p/w500/6M5a1eDZJw92xbNamxlQJ3S9Hd4.jpg;133;2,4121
Matrix;8,228;26538;1999-03-31;en;Inglês;Ação, Ficção científica;Lana Wachowski;Thomas Anderson, um jovem programador de computador que mora em um cubículo escuro, é atormentado por estranhos pesadelos nos quais encontra-se conectado por cabos e contra sua vontade, em um imenso sistema de computadores do futuro. Em todas essas ocasiões, acorda gritando no exato momento em que os eletrodos estão para penetrar em seu cérebro. À medida que o sonho se repete, Anderson começa a ter dúvidas sobre a realidade. Por meio do encontro com os misteriosos Morpheus e Trinity, Thomas descobre que é, assim como outras pessoas, vítima da Matrix, um sistema inteligente e artificial que manipula a mente das pessoas, criando a ilusão de um mundo real enquanto usa os cérebros e corpos dos indivíduos para produzir energia. Morpheus, entretanto, está convencido de que Thomas é Neo, o aguardado messias capaz de enfrentar a Matrix e conduzir as pessoas de volta à realidade e à liberdade.;https://image.tmdb.org/t/p/w500/lDqMDI3xpbB9UQRyeXfei0MXhqb.jpg;136;21,3602
Ultraman: A Ascensão;8,2;334;2024-06-14;en;Inglês;Animação, Ficção científica, Família, Ação;Shannon Tindle;Um atleta de sucesso volta à sua terra natal para assumir o papel do pai e se tornar o lendário Ultraman, protegendo Tóquio de monstros gigantes.;https://image.tmdb.org/t/p/w500/aQ2MhjWQtVOTDbqKvIkQp0xXjtv.jpg;120;4,0387
O Menino, a Toupeira, a Raposa e o Cavalo;8,224;643;2022-12-25;en;Inglês;Animação, Família, Aventura, Fantasia;Peter Baynton;Acompanhe a improvável união de quatro amigos, enquanto eles exploram o significado de gentileza, coragem e esperança.;https://image.tmdb.org/t/p/w500/765XUik0cbyWHITgE22FhpA8elG.jpg;35;3,9387
Crianças Lobo;8,22;2345;2012-07-21;ja;Japonês;Animação, Família, Drama, Fantasia;細田守;Depois que seu amante, um lobisomem, morre em um acidente enquanto procura alimento para seus filhos, uma jovem deve encontrar maneiras de criar o filho e a filha do lobisomem que tinha com ela, mantendo sua imagem escondida da sociedade.;https://image.tmdb.org/t/p/w500/mqeHZZ5IakUABFtJwTSw6bM0CND.jpg;117;4,1299
Testemunha de Acusação;8,22;1506;1957-12-17;en;Inglês;Drama, Mistério, Crime;Billy Wilder;"Quando Leonard Vole (Tyrone Power) é preso sob a acusação de ter assassinado uma rica viúva de meia-idade, Sir Wilfrid Robarts (Charles Laughton), um veterano e astuto advogado, concorda em defendê-lo. Sir Wilfrid está se recuperando de um ataque do coração quase fatal e ""supostamente"" está em uma dieta, que o proíbe de ingerir bebidas alcoólicas e de se envolver em casos complicados. Mas a atração pelas cortes criminais é algo muito forte para ele, especialmente quando o caso é bem difícil. O único álibi de Vole é o testemunho da sua esposa, Christine Vole (Marlene Dietrich), uma mulher fria e calculista. A tarefa de Sir Wilfrid fica praticamente impossível quando Christine Vole concorda em ser testemunha, não da defesa, mas da acusação.";https://image.tmdb.org/t/p/w500/7ZjeteEiQivpmq9w4PmHeerIcGs.jpg;114;4,746
Gladiador;8,22;19824;2000-05-04;en;Inglês;Ação, Drama, Aventura;Ridley Scott;Nos dias finais do reinado de Marcus Aurelius, o imperador desperta a ira de seu filho Commodus ao tornar pública sua predileção em deixar o trono para Maximus, o comandante do exército romano. Sedento pelo poder, Commodus mata seu pai, assume a coroa e ordena a morte de Maximus, que consegue fugir antes de ser pego e passa a se esconder sob a identidade de um escravo e gladiador do Império Romano.;https://image.tmdb.org/t/p/w500/R1ieKOdGHYL7BRpl0iRgNV1uXw.jpg;155;15,7859
Liga da Justiça Sombria: Guerra de Apokolips;8,219;1500;2020-05-05;en;Inglês;Animação, Ação, Ficção científica, Aventura, Fantasia;Matt Peters;A Liga da Justiça sempre foi a primeira e última defesa da Terra, mas com a chegada iminente de Darkseid e os horrores da guerra que ele trará, tudo está para mudar! Com o tempo se esgotando, a Liga da Justiça precisará, como nunca antes, de todos os seus integrantes e poderes. Mas mesmo os mais poderosos super-heróis do mundo, incluindo o novo membro, John Constantine, poderão não ter chance contra as legiões de Darkseid. Testemunhe a batalha mais chocante do Universo DC, onde a sobrevivência em si já é uma vitória.;https://image.tmdb.org/t/p/w500/okZMETLdhZypwJfzwjeWIzkIBaK.jpg;90;3,5045
O Resgate do Soldado Ryan;8,218;16381;1998-07-24;en;Inglês;Drama, História, Guerra;Steven Spielberg;Ao desembarcar na Normandia, no dia 6 de junho de 1944, o capitão Miller recebe a missão de comandar um grupo do segundo batalhão para o resgate do soldado James Ryan, caçula de quatro irmãos, dentre os quais três morreram em combate. Por ordens do chefe George C. Marshall, eles precisam procurar o soldado e garantir o seu retorno, com vida, para casa.;https://image.tmdb.org/t/p/w500/9SykLweWJJ5ISoT52s4Pfmul9DM.jpg;170;12,2409
Gato de Botas 2: O Último Pedido;8,215;8275;2022-12-07;en;Inglês;Animação, Aventura, Fantasia, Comédia, Família;Joel Crawford;O Gato de Botas descobre que sua paixão pela aventura cobrou seu preço: ele queimou oito de suas nove vidas, deixando-o com apenas uma vida restante. Gato parte em uma jornada épica para encontrar o mítico Último Desejo e restaurar suas nove vidas.;https://image.tmdb.org/t/p/w500/n3bZTjymEdd7laY7qqi4N3VGz7D.jpg;103;17,2566
TAYLOR SWIFT | THE ERAS TOUR;8,231;449;2023-10-13;en;Inglês;Música;Sam Wrench;A cantora e ícone pop Taylor Swift faz um show que mostra por que ela é um fenômeno cultural. No espetáculo, a artista apresenta canções de todas as fases de sua carreira.;https://image.tmdb.org/t/p/w500/jf3YO8hOqGHCupsREf5qymYq1n.jpg;170;2,8353
Wolfwalkers;8,213;1273;2020-10-26;en;Inglês;Animação, Família, Aventura, Fantasia;Tomm Moore;A chegada de um caçador de lobos a uma cidadezinha irlandesa é o começo de uma grande aventura para Robyn, quando ela conhece na floresta uma menina com um estranho dom.;https://image.tmdb.org/t/p/w500/gCa0yDjBb6zHgy2dhbud9mfsTLK.jpg;100;3,3163
Bastardos Inglórios;8,213;22969;2009-08-02;en;Inglês;Drama, Thriller, Guerra;Quentin Tarantino;Durante a Segunda Guerra Mundial, na França, um grupo de judeus americanos conhecidos como Bastardos espalha o terror entre o terceiro Reich. Ao mesmo tempo, Shosanna, uma judia que fugiu dos nazistas, planeja vingança quando um evento em seu cinema reunirá os líderes do partido.;https://image.tmdb.org/t/p/w500/n8fuS2uDDykO4P3RBPKLhWs0Ffj.jpg;152;16,1119
O Iluminado;8,2;18020;1980-05-23;en;Inglês;Terror, Thriller;Stanley Kubrick;Durante o inverno, um homem é contratado para ficar como vigia em um hotel no Colorado e vai para lá com a esposa e seu filho. Porém, o contínuo isolamento começa a lhe causar problemas mentais sérios e ele vai se tornado cada vez mais agressivo e perigoso, ao mesmo tempo que seu filho passa a ter visões de acontecimentos ocorridos no passado, que também foram causados pelo isolamento excessivo.;https://image.tmdb.org/t/p/w500/7ceEaLciLfksJkSHqp0vLE5eLyy.jpg;146;11,0618
A Mulher da Areia;8,2;478;1964-02-15;ja;Japonês;Drama, Thriller;勅使河原宏;Um entomologista amador resolve sair da cidade e passar o fim de semana numa área desértica do Japão, a fim de coletar insetos raros. Ele pernoita numa casa onde habita uma estranha mulher. Logo ele vai perceber que caiu em uma armadilha sem saída.;https://image.tmdb.org/t/p/w500/ka8MMM1o6KZpsaOIOWQiQf0vXb.jpg;147;2,8995
Demon Slayer: Mugen Train - O Filme;8,208;4119;2020-10-16;ja;Japonês;Animação, Ação, Fantasia, Thriller;外崎春雄;Tanjiro Kamado, junto com Inosuke Hashibira, um garoto criado por javalis que usa uma cabeça de javali, e Zenitsu Agatsuma, um garoto assustado que revela seu verdadeiro poder quando dorme, embarca no Trem Infinito em uma nova missão com o Hashira de Fogo, Kyojuro Rengoku, para derrotar um demônio que tem atormentado o povo e matado os caçadores de oni que se opõem a ele!;https://image.tmdb.org/t/p/w500/jlGL6yoyDTAZeVzqTfD9aU1tFnr.jpg;117;17,7339
Meu Amigo Enzo;8,208;1530;2019-08-08;en;Inglês;Drama, Romance;Simon Curtis;Um cachorro muito inteligente passa os dias filosofando e aprendendo o que é ser humano a partir das observações que faz sobre a vida de seu dono, o piloto Denny Swift.;https://image.tmdb.org/t/p/w500/26lLdJ8IG5EfzJwusx2DpfsuwLf.jpg;109;3,6121
Michael Jackson: Thriller;8,206;713;1983-11-14;en;Inglês;Terror, Música, Mistério;John Landis;"Uma noite no cinema se transforma em um pesadelo quando Michael e seu par são atacados por uma horda de zumbis sedentos de sangue - apenas um ""Thriller"" pode salvá-los agora.";https://image.tmdb.org/t/p/w500/dYHGoPMkZMVuBA4EydmDQMo1EEv.jpg;14;1,9038
Histórias Cruzadas;8,2;8595;2011-08-09;en;Inglês;Drama;Tate Taylor;Nos anos 60, no Mississippi, Skeeter é uma garota da sociedade que retorna determinada a se tornar escritora. Ela começa a entrevistar as mulheres negras da cidade, que deixaram suas vidas para trabalhar na criação dos filhos da elite branca, da qual a própria Skeeter faz parte. Aibileen Clark, a emprega da melhor amiga de Skeeter, é a primeira a conceder uma entrevista. Apesar das críticas, Skeeter e Aibileen continuam trabalhando juntas e, aos poucos, conseguem novas adesões.;https://image.tmdb.org/t/p/w500/7iWfEm9VOeX8AAnC7F1ApxRDTfw.jpg;146;11,1238
Guerra nas Estrelas;8,206;21289;1977-05-25;en;Inglês;Aventura, Ação, Ficção científica;George Lucas;A princesa Leia é mantida refém pelas forças imperiais comandadas por Darth Vader. Luke Skywalker e Han Solo precisam libertá-la e restaurar a liberdade e a justiça na galáxia.;https://image.tmdb.org/t/p/w500/dw7X9YPjjAfIxKHW04V64Bb9TB0.jpg;121;17,699
Viva: A Vida é uma Festa;8,204;20048;2017-10-27;en;Inglês;Família, Animação, Música, Aventura;Lee Unkrich;Apesar da desconcertante proibição da música imposta pela sua família há várias gerações, Miguel sonha em tornar-se um músico de sucesso como o seu ídolo, Ernesto de la Cruz. Desesperado para provar o seu talento, Miguel encontra-se na deslumbrante e colorida Terra dos Mortos, seguindo uma misteriosa cadeia de acontecimentos. Pelo caminho, conhece o encantador Hector e, juntos, partem numa extraordinária viagem para desvendar a verdadeira história por detrás da história da família de Miguel.;https://image.tmdb.org/t/p/w500/sdl31AfqivY0tryVfo9GMcAUx05.jpg;109;19,2696
O Grande Truque;8,204;16606;2006-10-17;en;Inglês;Drama, Mistério, Ficção científica;Christopher Nolan;No século 19, em Londres, dois amigos ilusionistas e mágicos, Alfred Borden e Rupert Angier, acabam construindo uma rivalidade, uma batalha por supremacia, que se estende ao longo dos anos e que se transforma em obsessão, cujos resultados serão inevitavelmente trágicos.;https://image.tmdb.org/t/p/w500/9yOIPXWQ9ttsZfzHvmcS7XiV8To.jpg;130;10,3865
A Criada;8,202;3958;2016-06-01;ko;Coreano;Thriller, Drama, Romance;Park Chan-wook;Coreia do Sul, anos 1930. Durante a ocupação japonesa, a jovem Sookee é contratada para trabalhar para uma herdeira nipônica, Hideko, que leva uma vida isolada ao lado do tio autoritário. Só que Sookee guarda um segredo: ela e um vigarista planejam desposar a herdeira, roubar sua fortuna e trancafiá-la em um sanatório. Tudo corre bem com o plano, até que Sookee aos poucos começa a compreender as motivações de Hideko.;https://image.tmdb.org/t/p/w500/q6ngYthHXCvA2ZubO4FHTFNRrmc.jpg;145;15,3609
Ilha do Medo;8,201;24648;2010-02-14;en;Inglês;Drama, Thriller, Mistério;Martin Scorsese;No verão de 1954, os agentes judiciais Teddy Daniels (DiCaprio) e Chuck Aule (Ruffalo) foram designados para uma ilha remota do porto de Boston para investigar o desaparecimento de uma perigosa assassina (Mortimer) que estava reclusa no hospital psiquiátrico Ashecliffe, um centro penitenciário para criminosos perturbados dirigido pelo sinistro médico John Cawley. (Kingsley). Logo eles descobrem que o centro guarda muitos segredos e que a ilha esconde algo mais perigoso que os pacientes.;https://image.tmdb.org/t/p/w500/erl801HYIodoIBGZeFk0GTwCUBh.jpg;138;17,392
Minha Mãe é uma Peça 3: O Filme;8,197;482;2019-12-26;pt;Português;Comédia;Susana Garcia;Dona Hermínia vai ter que se redescobrir e se reinventar porque seus filhos estão formando novas famílias. Essa supermãe vai ter que segurar a emoção para lidar com um novo cenário de vida: Marcelina está grávida e Juliano vai casar. Dona Hermínia está mais ansiosa do que nunca! Para completar as confusões, Carlos Alberto, seu ex-marido, que esteve sempre por perto, agora resolve ficar ainda mais próximo.;https://image.tmdb.org/t/p/w500/zw77BFPGJ73Lig8GwRzYj1XHq53.jpg;111;0,6164
Se Meu Apartamento Falasse;8,196;2439;1960-06-21;en;Inglês;Comédia, Drama, Romance;Billy Wilder;Um funcionário ambicioso descobre um atalho para subir na companhia em que trabalha: Ceder seu apartamento para os encontros amorosos de seus chefes. A tática inicialmente dá certo, mas passa a ser ameaçada quando ele se apaixona pela amante de um de seus chefes.;https://image.tmdb.org/t/p/w500/gF14eduhXX3V1fPXcBGdIeiJ0l4.jpg;125;4,0015
Doctor Who: O Dia do Doutor;8,195;760;2013-11-23;en;Inglês;Ficção científica, Aventura;Nick Hurran;"Clara e o Doutor continuam presos na linha do tempo do Doutor, e a única saída é abrir a porta para os dias mais sombrios do Doutor, ""A Guerra do Tempo"". Segredos, mentiras e memórias que já estavam muito tempo enterradas serão reveladas.";https://image.tmdb.org/t/p/w500/yxLra5R61s5J4M5L3mqOY42K5md.jpg;76;1,5041
Até o Último Homem;8,193;14176;2016-10-07;en;Inglês;Drama, História, Guerra;Mel Gibson;Desmond T. Doss, foi o médico do Exército Americano da Segunda Guerra Mundial, que serviu durante a Batalha de Okinawa, se recusando a matar pessoas, tornando-se o primeiro homem da história americana a receber a Medalha de Honra sem disparar um tiro.;https://image.tmdb.org/t/p/w500/7RCE90deykW0TKUpTZfv7TTP9MF.jpg;140;15,9919
Garota do Século 20;8,2;740;2022-10-06;ko;Coreano;Romance, Drama;Bang Woo-ri;O ano é 1999 e uma adolescente começa a monitorar o garoto pelo qual a melhor amiga está apaixonada. Tudo vai bem até que um outro amor começa a dar as caras.;https://image.tmdb.org/t/p/w500/uy3NhZq5IMw9c7vSoP2Z1GsQOJo.jpg;121;13,1583
Maquia;8,189;653;2018-02-24;ja;Japonês;Animação, Fantasia, Drama, Aventura;Mari Okada;Ao fugir da guerra, a imortal Maquia, agraciada com a juventude eterna, encontra um bebê abandonado na floresta e decide criá-lo como seu próprio filho, dando início a uma comovente história entre um mortal e um ser que não envelhece.;https://image.tmdb.org/t/p/w500/auacBjLCB9zWSCDog2eFBkNuEmw.jpg;115;3,7853
O Sétimo Selo;8,187;3119;1957-02-16;sv;Sueco;Fantasia, Drama;Ingmar Bergman;Após dez anos, um cavaleiro retorna das Cruzadas e encontra o país devastado pela Peste Negra. Sua fé em Deus é sensivelmente abalada e, enquanto reflete sobre o significado da vida, a Morte surge à sua frente querendo levá-lo, pois chegou sua hora. Objetivando ganhar tempo, convida-a para um jogo de xadrez que decidirá se ele parte com ela ou não. Tudo depende da sua vitória no jogo e a Morte concorda com o desafio, já que não perde nunca.;https://image.tmdb.org/t/p/w500/j1xE9l5n3Qk0d0pRG0iz9oNNwoH.jpg;96;3,4281
Laranja Mecânica;8,186;13231;1971-12-19;en;Inglês;Ficção científica, Crime;Stanley Kubrick;Em uma Inglaterra do futuro, um membro de uma gangue de delinquentes tenta desligar-se, mas é espancado pelos demais e deixado ao abandono para ser apanhado pela polícia. Na prisão, ele é submetido a um tratamento experimental para recuperar criminosos, expondo-os às mazelas que eles mesmos infligiam à sociedade.;https://image.tmdb.org/t/p/w500/e8jIwfP8jr81UTFbh2qJVjBhIUL.jpg;136;7,0654
Django Livre;8,183;26863;2012-12-25;en;Inglês;Drama, Faroeste;Quentin Tarantino;Django é um escravo, comprado pelo caçador de recompensas alemão Dr. King Schultz para auxiliá-lo em uma missão. A dupla acaba fazendo amizade e, após resolver os problemas do caçador, parte em busca por Broomhilda, esposa de Django. Para isso, eles devem enfrentar o vilão Calvin Candie, proprietário da escrava.;https://image.tmdb.org/t/p/w500/1t5UXZYhjqoaz7vUUNJw78F1Yzz.jpg;165;11,5421
Black Clover: A Espada do Rei Mago;8,179;313;2023-06-16;ja;Japonês;Animação, Fantasia, Ação, Aventura;種村綾隆;Um garoto destemido e sem poderes mágicos luta pelo título de Rei Mago – enfrentando quatro rivais que foram banidos e agora ameaçam destruir o Reino Clover.;https://image.tmdb.org/t/p/w500/5KK0FJGdZI7jMhfwyJTg1LGR2z8.jpg;113;7,197
Amnésia;8,178;15375;2000-10-11;en;Inglês;Mistério, Thriller;Christopher Nolan;Leonard está caçando o homem que estuprou e matou sua esposa. Ele tem dificuldades em encontrar o assassino pois sofre de uma forma intratável de perda de memória. Mesmo que ele possa lembrar detalhes da vida antes do acidente, Leonard não consegue lembrar o que aconteceu quinze minutos atrás, onde está indo ou a razão.;https://image.tmdb.org/t/p/w500/7leBWM27Q0TUnvmhw6WnFNgGn4G.jpg;113;9,0654
Investigação sobre um Cidadão Acima de Qualquer Suspeita;8,176;820;1970-10-16;it;Italiano;Drama, Thriller;Elio Petri;Inspetor do alto escalão da polícia italiana, com reputação ilibada, fama de incorruptível, mata sua amante, Augusta Terzi. Testa se a polícia irá acusá-lo por isso e durante o filme, ele vai plantando pistas óbvias que o identificam como o assassino ao mesmo tempo em que vê os colegas ignorando-as, intencionalmente ou não.;https://image.tmdb.org/t/p/w500/78J8uySMPfVvXkjYXznBa4fZGUu.jpg;111;1,0655
Ladrões de Bicicleta;8,175;2499;1948-07-21;it;Italiano;Drama;Vittorio De Sica;Desempregado Antonio Ricci (Lamberto Maggiorani) está eufórico quando finalmente encontra trabalho colocando cartazes pela cidade de Roma, destruída pela guerra. Sua esposa Maria (Lianella Carell), vende os lençóis da família para resgatar a bicicleta de Antonio da loja de penhor, para que ele possa aceitar o trabalho. Porém, o desastre ataca, quando a bicicleta de Antonio é roubada. (e 10 - Estimado 10 Anos);https://image.tmdb.org/t/p/w500/8hpVv2G8cXXEBp67dkcLNqrjNUs.jpg;90;2,9977
Top Gun: Maverick;8,174;9985;2022-05-21;en;Inglês;Ação, Drama;Joseph Kosinski;"Depois de mais de 30 anos de serviço como um dos principais aviadores da Marinha, Pete ""Maverick"" Mitchell está de volta, rompendo os limites como um piloto de testes corajoso. No mundo contemporâneo das guerras tecnológicas, Maverick enfrenta drones e prova que o fator humano ainda é essencial.";https://image.tmdb.org/t/p/w500/8v3lrllHYRrqEdYWLyscH4RGFDO.jpg;131;26,3117
Flow;8,174;2095;2024-08-29;lv;Latvian;Animação, Aventura, Fantasia, Família;Gints Zilbalodis;Gato é um animal solitário, mas quando seu lar é destruído por uma grande inundação, ele encontra refúgio em um barco habitado por diversas espécies, tendo que se juntar a elas apesar das diferenças.;https://image.tmdb.org/t/p/w500/66Y6qdAmCTtzrtGSPrwHihIZP0W.jpg;85;30,4551
Era Uma Vez em Tóquio;8,2;1128;1953-11-03;ja;Japonês;Drama;Yasujiro Ozu;Um casal de idosos deixa sua filha no campo para visitar os outros filhos em Tóquio, cidade que eles nunca tinham ido. Porém os filhos os recebem com indiferença, e estão sempre muito atarefados para terem tempo para os pais. Apenas a nora deles, que perdeu o marido na guerra, parece dar atenção aos dois. Quando a mãe fica doente, os filhos vão visitá-la junto com a nora, e complexos sentimentos são revelados.;https://image.tmdb.org/t/p/w500/4HCbmramVjhtwvPzoRGXiPhu9Zk.jpg;137;3,2638
Os Suspeitos;8,173;10746;1995-07-19;en;Inglês;Drama, Crime, Thriller;Bryan Singer;Um detetive interroga um dos únicos sobreviventes de uma explosão no cais que provocou dezenas de mortes. O suspeito conta uma história sobre os eventos que levaram ele e mais quatro criminosos ao local do crime, deixando dúvidas sobre a verdade.;https://image.tmdb.org/t/p/w500/ueAOi0aESiXufglEj5011sfFp0e.jpg;106;9,4336
Steven Universo: O Filme;8,172;819;2019-10-07;en;Inglês;Cinema TV, Aventura, Animação, Comédia, Fantasia, Música, Ficção científica, Ação, Drama;Rebecca Sugar;Steven acha que seu tempo de defesa da Terra acabou, mas quando uma nova ameaça chega a Beach City, Steven enfrenta seu maior desafio.;https://image.tmdb.org/t/p/w500/xSmtEs771Czn1cU3PwgYqDuwCgA.jpg;82;3,1541
Alien: O Oitavo Passageiro;8,165;15396;1979-05-25;en;Inglês;Terror, Ficção científica;Ridley Scott;Quando a tripulação da sonda espacial Nostromo responde a um pedido de socorro vindo de um planeta inóspito, eles descobrem uma forma de vida mortal que se reproduz dentro de humanos. Agora, a tripulação deve lutar para permanecer viva e impedir que a criatura chegue até a Terra.;https://image.tmdb.org/t/p/w500/yH05Ft4egz5DYy4SLWYYuVMoGqC.jpg;116;15,7016
Vozes Inocentes;8,163;504;2005-01-28;es;Espanhol;Drama, Guerra;Luis Mandoki;"Anos 80. Chava (Carlos Padilla) é um garoto de 11 anos que, após seu pai abandonar a família em meio à guerra civil de El Salvador, se torna o ""homem da casa"". Por causa da guerra as forças armadas do governo recrutam garotos de 12 anos, retirando-os das salas de aula. Chava ainda tem um ano até ser também recrutado, sendo que neste período precisa conseguir um emprego para ajudar sua mãe (Leonor Varela) a pagar as contas e também escapar da violência diária causada pela guerra civil.";https://image.tmdb.org/t/p/w500/4n17GclsQnAMr8zGDFc22ZlGocU.jpg;120;1,5612
